profile,scenario,variable_value,trial,latency_ms,memory_mb,tokens,cache_hit_rate
Baseline v1.0,server_scaling,10,26,108.07980000026873,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,27,92.82540000003792,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,28,108.78860000048007,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,29,107.85399999986112,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,10,30,108.35529999985738,2.6702880859375e-05,3547,0.0
Baseline v1.0,server_scaling,20,1,124.03330000051938,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,2,124.1823000000295,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,3,124.53390000064246,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,4,108.89580000002752,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,5,122.7601999999024,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,6,123.99239999922429,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,7,124.21910000011849,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,8,123.49730000005366,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,9,124.029800000244,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,10,123.90099999993254,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,11,124.55159999990428,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,12,124.38870000005409,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,13,123.78329999955895,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,14,108.00939999990078,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,15,124.37510000017937,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,16,123.07109999983368,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,17,123.87430000035238,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,18,124.28379999983008,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,19,124.26609999965876,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,20,123.33330000001297,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,21,123.7263000002713,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,22,124.6489000004658,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,23,124.36720000005153,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,24,108.48970000006375,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,25,123.42369999987568,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,26,123.35950000033336,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,27,124.26999999934196,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,28,123.30880000081379,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,29,122.68210000002,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,20,30,123.79599999985658,2.6702880859375e-05,4147,0.0
Baseline v1.0,server_scaling,30,1,154.88510000068345,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,2,154.12709999964136,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,3,154.11219999987225,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,4,154.95869999995193,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,5,154.56350000022212,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,6,154.29519999997865,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,7,154.3917999997575,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,8,155.14359999997396,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,9,153.56880000035744,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,10,155.18020000035904,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,11,155.0200000001496,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,12,153.8180999996257,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,13,140.49550000072486,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,14,155.31230000033247,2.6702880859375e-05,4747,0.0
Baseline v1.0,server_scaling,30,15,153.66460000041116,2.6702880859375e-05,4747,0.0
