profile,scenario,variable,trials,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_memory_mb,mean_tokens,mean_cache_hit_rate
ADV2: Request Batching,server_scaling,20,30,91.86732666654886,92.81405000001541,93.5697999993863,93.78759999981412,4.9591064453125e-05,1451,0.0
ADV2: Request Batching,server_scaling,30,30,92.9098266666794,92.89845000012065,93.62109999983659,93.82869999990362,4.9591064453125e-05,1661,0.0
ADV2: Request Batching,server_scaling,40,30,92.55828666682646,92.4526000003425,93.4227000007013,93.5051000005842,4.9591064453125e-05,1871,0.0
ADV2: Request Batching,server_scaling,50,30,107.94130666657414,107.89439999962269,108.55930000070657,108.64489999949001,7.62939453125e-05,2081,0.0
ADV3: Predictive Caching,context_scaling,64,30,107.41445666675038,108.27384999993228,109.43279999992228,109.65479999958916,4.9591064453125e-05,1202,0.7
ADV3: Predictive Caching,context_scaling,128,30,107.67844333328564,108.018649999849,109.03930000040418,109.34949999955279,4.9591064453125e-05,1285,0.7
ADV3: Predictive Caching,context_scaling,256,30,107.11105333333155,108.18639999979496,108.91199999969103,109.06569999951898,4.9591064453125e-05,1451,0.7
ADV3: Predictive Caching,context_scaling,512,30,107.68635666663613,108.14049999953568,109.08120000021881,109.14019999927405,4.9591064453125e-05,1782,0.7
ADV3: Predictive Caching,context_scaling,1024,30,107.29920999992828,107.6813999998194,108.42730000058509,108.65259999991395,4.9591064453125e-05,2445,0.7
ADV3: Predictive Caching,server_scaling,1,30,77.3082733332861,77.26659999980257,78.10569999946892,78.10909999989235,4.9591064453125e-05,1052,0.7
ADV3: Predictive Caching,server_scaling,5,30,77.26672666670613,77.26709999997183,77.77290000012727,77.90790000035486,4.9591064453125e-05,1136,0.7
ADV3: Predictive Caching,server_scaling,10,30,77.20380333327437,77.28520000000572,77.90029999978287,77.9978000000483,4.9591064453125e-05,1241,0.7
ADV3: Predictive Caching,server_scaling,20,30,106.69377666660391,108.18234999987908,108.74609999973472,109.09350000019913,4.9591064453125e-05,1451,0.7
ADV3: Predictive Caching,server_scaling,30,30,123.80485666665966,123.72839999989083,124.95320000016363,125.50869999995484,4.9591064453125e-05,1661,0.7
ADV3: Predictive Caching,server_scaling,40,30,123.6516599999959,123.67529999983162,124.59730000045965,124.64540000019042,5.4168701171875e-05,1871,0.7
ADV3: Predictive Caching,server_scaling,50,30,154.70741666670924,154.86059999966528,155.8021999999255,155.8839999997872,7.62939453125e-05,2081,0.7
ADV4: Adaptive Compression,context_scaling,64,30,108.35798333349278,108.35575000010067,109.09730000003037,109.32779999984632,4.9591064453125e-05,1202,0.0
ADV4: Adaptive Compression,context_scaling,128,30,108.3755200000572,108.34179999983462,109.5792000005531,109.76230000051146,4.9591064453125e-05,1285,0.0
ADV4: Adaptive Compression,context_scaling,256,30,108.49862999990971,108.39214999987234,109.2371999993702,109.24609999983659,4.9591064453125e-05,1451,0.0
ADV4: Adaptive Compression,context_scaling,512,30,108.33101666670093,108.32244999983232,109.11570000007487,109.13540000001376,4.9591064453125e-05,1782,0.0
ADV4: Adaptive Compression,context_scaling,1024,30,108.05402666662,108.20559999956458,108.93289999967237,109.1430999995282,4.9591064453125e-05,2445,0.0
ADV4: Adaptive Compression,server_scaling,1,30,77.63068666669521,77.54784999997355,78.58779999969556,78.63489999999729,4.9591064453125e-05,1052,0.0
ADV4: Adaptive Compression,server_scaling,5,30,77.33940666669999,77.47285000004922,77.89669999965554,78.47719999972469,4.9591064453125e-05,1136,0.0
ADV4: Adaptive Compression,server_scaling,10,30,92.7561566665645,92.71359999956985,93.51189999961207,93.60600000036357,4.9591064453125e-05,1241,0.0
ADV4: Adaptive Compression,server_scaling,20,30,108.47549666668783,108.4904499998629,109.65020000003278,109.8840000004202,4.9591064453125e-05,1451,0.0
ADV4: Adaptive Compression,server_scaling,30,30,139.1454366665736,139.0799999999217,140.0746999997864,141.9698999998218,4.9591064453125e-05,1661,0.0
ADV4: Adaptive Compression,server_scaling,40,30,154.64174666676627,154.5931999999084,155.73140000014973,156.17639999982202,4.9591064453125e-05,1871,0.0
ADV4: Adaptive Compression,server_scaling,50,30,170.0662333333336,169.9930999998287,171.45689999961178,172.36679999950866,8.087158203125e-05,2081,0.0
ADV5: Tool Grouping,context_scaling,64,30,137.10236666665878,138.88929999984612,139.9394999998549,141.17369999985385,4.9591064453125e-05,1202,0.0
ADV5: Tool Grouping,context_scaling,128,30,138.836189999923,139.15315000031114,140.5756999993173,140.7533000001422,4.9591064453125e-05,1285,0.0
