experiment,strategy,x_value,trial,context_kb,server_count,latency_ms,peak_memory_mb,token_count
server_scaling,baseline,50,24,256,50,139.030,2.823,37450.0
server_scaling,baseline,50,25,256,50,138.664,2.823,37450.0
context_scaling,baseline,64,1,64,20,61.634,0.740,9363.0
context_scaling,baseline,64,2,64,20,61.623,0.740,9363.0
context_scaling,baseline,64,3,64,20,61.906,0.740,9363.0
context_scaling,baseline,64,4,64,20,62.379,0.740,9363.0
context_scaling,baseline,64,5,64,20,61.410,0.740,9363.0
context_scaling,baseline,64,6,64,20,61.914,0.740,9363.0
context_scaling,baseline,64,7,64,20,61.728,0.740,9363.0
context_scaling,baseline,64,8,64,20,61.810,0.740,9363.0
context_scaling,baseline,64,9,64,20,62.323,0.740,9363.0
context_scaling,baseline,64,10,64,20,62.349,0.740,9363.0
context_scaling,baseline,64,11,64,20,62.570,0.740,9363.0
context_scaling,baseline,64,12,64,20,62.834,0.740,9363.0
context_scaling,baseline,64,13,64,20,61.967,0.740,9363.0
context_scaling,baseline,64,14,64,20,61.740,0.740,9363.0
context_scaling,baseline,64,15,64,20,61.625,0.740,9363.0
context_scaling,baseline,64,16,64,20,61.849,0.740,9363.0
context_scaling,baseline,64,17,64,20,61.211,0.740,9363.0
context_scaling,baseline,64,18,64,20,61.781,0.740,9363.0
context_scaling,baseline,64,19,64,20,61.606,0.740,9363.0
context_scaling,baseline,64,20,64,20,62.162,0.740,9363.0
context_scaling,baseline,64,21,64,20,61.287,0.740,9363.0
context_scaling,baseline,64,22,64,20,61.835,0.740,9363.0
context_scaling,baseline,64,23,64,20,61.700,0.740,9363.0
context_scaling,baseline,64,24,64,20,62.201,0.740,9363.0
context_scaling,baseline,64,25,64,20,61.955,0.740,9363.0
context_scaling,baseline,128,1,128,20,61.023,1.368,18726.0
context_scaling,baseline,128,2,128,20,61.525,1.368,18726.0
context_scaling,baseline,128,3,128,20,62.154,1.368,18726.0
context_scaling,baseline,128,4,128,20,62.243,1.368,18726.0
context_scaling,baseline,128,5,128,20,62.905,1.368,18726.0
context_scaling,baseline,128,6,128,20,61.434,1.368,18726.0
context_scaling,baseline,128,7,128,20,61.723,1.368,18726.0
context_scaling,baseline,128,8,128,20,61.989,1.368,18726.0
context_scaling,baseline,128,9,128,20,62.363,1.368,18726.0
context_scaling,baseline,128,10,128,20,61.404,1.368,18726.0
context_scaling,baseline,128,11,128,20,61.911,1.368,18726.0
context_scaling,baseline,128,12,128,20,61.487,1.368,18726.0
context_scaling,baseline,128,13,128,20,61.567,1.368,18726.0
context_scaling,baseline,128,14,128,20,62.365,1.368,18726.0
context_scaling,baseline,128,15,128,20,61.008,1.368,18726.0
context_scaling,baseline,128,16,128,20,61.805,1.368,18726.0
context_scaling,baseline,128,17,128,20,62.234,1.368,18726.0
context_scaling,baseline,128,18,128,20,61.481,1.368,18726.0
context_scaling,baseline,128,19,128,20,61.641,1.368,18726.0
context_scaling,baseline,128,20,128,20,61.253,1.368,18726.0
context_scaling,baseline,128,21,128,20,61.327,1.368,18726.0
context_scaling,baseline,128,22,128,20,61.084,1.368,18726.0
context_scaling,baseline,128,23,128,20,61.704,1.368,18726.0
context_scaling,baseline,128,24,128,20,61.806,1.368,18726.0
context_scaling,baseline,128,25,128,20,61.570,1.368,18726.0
context_scaling,baseline,256,1,256,20,76.949,2.626,37450.0
context_scaling,baseline,256,2,256,20,77.184,2.626,37450.0
context_scaling,baseline,256,3,256,20,77.249,2.626,37450.0
context_scaling,baseline,256,4,256,20,76.944,2.626,37450.0
context_scaling,baseline,256,5,256,20,77.304,2.626,37450.0
context_scaling,baseline,256,6,256,20,77.505,2.626,37450.0
context_scaling,baseline,256,7,256,20,76.738,2.626,37450.0
context_scaling,baseline,256,8,256,20,76.771,2.626,37450.0
context_scaling,baseline,256,9,256,20,77.513,2.626,37450.0
context_scaling,baseline,256,10,256,20,77.184,2.626,37450.0
context_scaling,baseline,256,11,256,20,77.345,2.626,37450.0
context_scaling,baseline,256,12,256,20,78.055,2.626,37450.0
context_scaling,baseline,256,13,256,20,77.820,2.626,37450.0
context_scaling,baseline,256,14,256,20,77.150,2.626,37450.0
context_scaling,baseline,256,15,256,20,77.485,2.626,37450.0
context_scaling,baseline,256,16,256,20,77.376,2.626,37450.0
context_scaling,baseline,256,17,256,20,76.953,2.626,37450.0
context_scaling,baseline,256,18,256,20,76.812,2.626,37450.0
context_scaling,baseline,256,19,256,20,78.117,2.626,37450.0
context_scaling,baseline,256,20,256,20,77.555,2.626,37450.0
context_scaling,baseline,256,21,256,20,76.979,2.626,37450.0
context_scaling,baseline,256,22,256,20,76.841,2.626,37450.0
context_scaling,baseline,256,23,256,20,76.963,2.626,37450.0
context_scaling,baseline,256,24,256,20,77.064,2.626,37450.0
context_scaling,baseline,256,25,256,20,77.342,2.626,37450.0
context_scaling,baseline,512,1,512,20,92.383,5.147,74899.0
context_scaling,baseline,512,2,512,20,92.940,5.147,74899.0
context_scaling,baseline,512,3,512,20,108.037,5.147,74899.0
context_scaling,baseline,512,4,512,20,107.781,5.147,74899.0
context_scaling,baseline,512,5,512,20,107.713,5.147,74899.0
context_scaling,baseline,512,6,512,20,107.802,5.147,74899.0
context_scaling,baseline,512,7,512,20,91.984,5.147,74899.0
context_scaling,baseline,512,8,512,20,107.966,5.147,74899.0
context_scaling,baseline,512,9,512,20,92.678,5.147,74899.0
context_scaling,baseline,512,10,512,20,92.339,5.147,74899.0
context_scaling,baseline,512,11,512,20,92.372,5.147,74899.0
context_scaling,baseline,512,12,512,20,92.123,5.147,74899.0
context_scaling,baseline,512,13,512,20,93.890,5.147,74899.0
context_scaling,baseline,512,14,512,20,92.821,5.147,74899.0
context_scaling,baseline,512,15,512,20,107.628,5.147,74899.0
context_scaling,baseline,512,16,512,20,108.449,5.147,74899.0
context_scaling,baseline,512,17,512,20,93.038,5.147,74899.0
context_scaling,baseline,512,18,512,20,92.635,5.147,74899.0
context_scaling,baseline,512,19,512,20,93.671,5.147,74899.0
context_scaling,baseline,512,20,512,20,92.607,5.147,74899.0
context_scaling,baseline,512,21,512,20,92.271,5.147,74899.0
context_scaling,baseline,512,22,512,20,92.815,5.147,74899.0
context_scaling,baseline,512,23,512,20,107.356,5.147,74899.0
context_scaling,baseline,512,24,512,20,93.220,5.147,74899.0
context_scaling,baseline,512,25,512,20,92.727,5.147,74899.0
context_scaling,baseline,1024,1,1024,20,170.269,10.197,149797.0
context_scaling,baseline,1024,2,1024,20,170.212,10.197,149797.0
context_scaling,baseline,1024,3,1024,20,170.561,10.197,149797.0
context_scaling,baseline,1024,4,1024,20,170.062,10.197,149797.0
context_scaling,baseline,1024,5,1024,20,170.531,10.197,149797.0
context_scaling,baseline,1024,6,1024,20,170.092,10.197,149797.0
context_scaling,baseline,1024,7,1024,20,170.036,10.197,149797.0
context_scaling,baseline,1024,8,1024,20,170.669,10.197,149797.0
context_scaling,baseline,1024,9,1024,20,169.966,10.197,149797.0
context_scaling,baseline,1024,10,1024,20,169.299,10.197,149797.0
context_scaling,baseline,1024,11,1024,20,171.027,10.197,149797.0
context_scaling,baseline,1024,12,1024,20,171.448,10.197,149797.0
context_scaling,baseline,1024,13,1024,20,169.248,10.197,149797.0
context_scaling,baseline,1024,14,1024,20,172.208,10.197,149797.0
context_scaling,baseline,1024,15,1024,20,168.710,10.197,149797.0
context_scaling,baseline,1024,16,1024,20,170.724,10.197,149797.0
context_scaling,baseline,1024,17,1024,20,169.989,10.197,149797.0
context_scaling,baseline,1024,18,1024,20,170.136,10.197,149797.0
context_scaling,baseline,1024,19,1024,20,170.524,10.197,149797.0
context_scaling,baseline,1024,20,1024,20,169.939,10.197,149797.0
context_scaling,baseline,1024,21,1024,20,170.090,10.197,149797.0
context_scaling,baseline,1024,22,1024,20,170.791,10.197,149797.0
context_scaling,baseline,1024,23,1024,20,170.265,10.197,149797.0
context_scaling,baseline,1024,24,1024,20,170.392,10.197,149797.0
context_scaling,baseline,1024,25,1024,20,169.661,10.197,149797.0
server_scaling,optimized,1,1,256,1,30.709,1.129,13108.0
server_scaling,optimized,1,2,256,1,31.043,1.129,13108.0
server_scaling,optimized,1,3,256,1,30.325,1.129,13108.0
server_scaling,optimized,1,4,256,1,31.065,1.129,13108.0
server_scaling,optimized,1,5,256,1,31.026,1.129,13108.0
server_scaling,optimized,1,6,256,1,31.087,1.129,13108.0
server_scaling,optimized,1,7,256,1,30.783,1.129,13108.0
server_scaling,optimized,1,8,256,1,31.029,1.129,13108.0
server_scaling,optimized,1,9,256,1,30.801,1.129,13108.0
server_scaling,optimized,1,10,256,1,31.340,1.129,13108.0
server_scaling,optimized,1,11,256,1,30.565,1.129,13108.0
server_scaling,optimized,1,12,256,1,31.012,1.129,13108.0
server_scaling,optimized,1,13,256,1,31.611,1.129,13108.0
server_scaling,optimized,1,14,256,1,30.994,1.129,13108.0
server_scaling,optimized,1,15,256,1,30.662,1.129,13108.0
server_scaling,optimized,1,16,256,1,30.913,1.129,13108.0
server_scaling,optimized,1,17,256,1,30.775,1.129,13108.0
server_scaling,optimized,1,18,256,1,31.094,1.129,13108.0
server_scaling,optimized,1,19,256,1,30.751,1.129,13108.0
server_scaling,optimized,1,20,256,1,30.234,1.129,13108.0
server_scaling,optimized,1,21,256,1,31.040,1.129,13108.0
server_scaling,optimized,1,22,256,1,31.273,1.129,13108.0
server_scaling,optimized,1,23,256,1,30.593,1.129,13108.0
server_scaling,optimized,1,24,256,1,31.205,1.129,13108.0
server_scaling,optimized,1,25,256,1,30.809,1.129,13108.0
server_scaling,optimized,5,1,256,5,31.568,1.130,13108.0
server_scaling,optimized,5,2,256,5,30.669,1.130,13108.0
server_scaling,optimized,5,3,256,5,31.295,1.130,13108.0
server_scaling,optimized,5,4,256,5,30.865,1.130,13108.0
server_scaling,optimized,5,5,256,5,31.218,1.130,13108.0
server_scaling,optimized,5,6,256,5,31.075,1.130,13108.0
server_scaling,optimized,5,7,256,5,31.109,1.130,13108.0
server_scaling,optimized,5,8,256,5,30.858,1.130,13108.0
server_scaling,optimized,5,9,256,5,30.750,1.130,13108.0
server_scaling,optimized,5,10,256,5,30.735,1.130,13108.0
server_scaling,optimized,5,11,256,5,31.080,1.130,13108.0
server_scaling,optimized,5,12,256,5,30.738,1.130,13108.0
server_scaling,optimized,5,13,256,5,30.964,1.130,13108.0
server_scaling,optimized,5,14,256,5,31.099,1.130,13108.0
server_scaling,optimized,5,15,256,5,30.853,1.130,13108.0
server_scaling,optimized,5,16,256,5,30.936,1.130,13108.0
server_scaling,optimized,5,17,256,5,30.698,1.130,13108.0
server_scaling,optimized,5,18,256,5,30.709,1.130,13108.0
server_scaling,optimized,5,19,256,5,30.713,1.130,13108.0
server_scaling,optimized,5,20,256,5,31.005,1.130,13108.0
server_scaling,optimized,5,21,256,5,30.875,1.130,13108.0
server_scaling,optimized,5,22,256,5,31.113,1.130,13108.0
server_scaling,optimized,5,23,256,5,31.126,1.130,13108.0
server_scaling,optimized,5,24,256,5,30.955,1.130,13108.0
server_scaling,optimized,5,25,256,5,30.878,1.130,13108.0
server_scaling,optimized,10,1,256,10,30.889,1.139,13108.0
server_scaling,optimized,10,2,256,10,30.900,1.137,13108.0
server_scaling,optimized,10,3,256,10,30.815,1.137,13108.0
server_scaling,optimized,10,4,256,10,30.600,1.137,13108.0
server_scaling,optimized,10,5,256,10,30.906,1.137,13108.0
server_scaling,optimized,10,6,256,10,30.888,1.137,13108.0
server_scaling,optimized,10,7,256,10,30.990,1.137,13108.0
server_scaling,optimized,10,8,256,10,31.063,1.137,13108.0
server_scaling,optimized,10,9,256,10,30.875,1.137,13108.0
server_scaling,optimized,10,10,256,10,30.983,1.137,13108.0
server_scaling,optimized,10,11,256,10,30.757,1.137,13108.0
server_scaling,optimized,10,12,256,10,30.706,1.137,13108.0
server_scaling,optimized,10,13,256,10,30.980,1.137,13108.0
server_scaling,optimized,10,14,256,10,30.845,1.137,13108.0
server_scaling,optimized,10,15,256,10,31.555,1.137,13108.0
server_scaling,optimized,10,16,256,10,30.928,1.137,13108.0
server_scaling,optimized,10,17,256,10,30.681,1.137,13108.0
server_scaling,optimized,10,18,256,10,31.037,1.137,13108.0
server_scaling,optimized,10,19,256,10,31.011,1.137,13108.0
server_scaling,optimized,10,20,256,10,30.791,1.137,13108.0
server_scaling,optimized,10,21,256,10,30.765,1.137,13108.0
server_scaling,optimized,10,22,256,10,30.673,1.137,13108.0
server_scaling,optimized,10,23,256,10,30.947,1.137,13108.0
server_scaling,optimized,10,24,256,10,30.863,1.137,13108.0
server_scaling,optimized,10,25,256,10,30.702,1.137,13108.0
server_scaling,optimized,20,1,256,20,47.099,1.157,13108.0
server_scaling,optimized,20,2,256,20,46.132,1.157,13108.0
server_scaling,optimized,20,3,256,20,45.832,1.157,13108.0
server_scaling,optimized,20,4,256,20,46.024,1.157,13108.0
server_scaling,optimized,20,5,256,20,46.133,1.157,13108.0
server_scaling,optimized,20,6,256,20,46.188,1.157,13108.0
server_scaling,optimized,20,7,256,20,47.037,1.157,13108.0
server_scaling,optimized,20,8,256,20,46.867,1.157,13108.0
server_scaling,optimized,20,9,256,20,46.254,1.157,13108.0
server_scaling,optimized,20,10,256,20,46.781,1.157,13108.0
server_scaling,optimized,20,11,256,20,46.909,1.157,13108.0
server_scaling,optimized,20,12,256,20,46.560,1.157,13108.0
server_scaling,optimized,20,13,256,20,46.423,1.157,13108.0
server_scaling,optimized,20,14,256,20,46.202,1.157,13108.0
server_scaling,optimized,20,15,256,20,46.548,1.157,13108.0
server_scaling,optimized,20,16,256,20,46.506,1.157,13108.0
server_scaling,optimized,20,17,256,20,46.132,1.157,13108.0
server_scaling,optimized,20,18,256,20,46.298,1.157,13108.0
server_scaling,optimized,20,19,256,20,45.926,1.157,13108.0
server_scaling,optimized,20,20,256,20,46.182,1.157,13108.0
server_scaling,optimized,20,21,256,20,46.615,1.157,13108.0
server_scaling,optimized,20,22,256,20,46.305,1.157,13108.0
server_scaling,optimized,20,23,256,20,45.922,1.157,13108.0
server_scaling,optimized,20,24,256,20,47.448,1.157,13108.0
server_scaling,optimized,20,25,256,20,45.872,1.157,13108.0
server_scaling,optimized,30,1,256,30,61.524,1.176,13108.0
server_scaling,optimized,30,2,256,30,62.004,1.176,13108.0
server_scaling,optimized,30,3,256,30,62.193,1.176,13108.0
server_scaling,optimized,30,4,256,30,61.337,1.176,13108.0
server_scaling,optimized,30,5,256,30,61.969,1.176,13108.0
server_scaling,optimized,30,6,256,30,61.808,1.176,13108.0
server_scaling,optimized,30,7,256,30,62.573,1.176,13108.0
server_scaling,optimized,30,8,256,30,62.506,1.176,13108.0
server_scaling,optimized,30,9,256,30,61.835,1.176,13108.0
server_scaling,optimized,30,10,256,30,61.900,1.176,13108.0
server_scaling,optimized,30,11,256,30,61.400,1.176,13108.0
server_scaling,optimized,30,12,256,30,61.672,1.176,13108.0
server_scaling,optimized,30,13,256,30,61.767,1.176,13108.0
server_scaling,optimized,30,14,256,30,62.559,1.176,13108.0
server_scaling,optimized,30,15,256,30,61.662,1.176,13108.0
server_scaling,optimized,30,16,256,30,62.672,1.176,13108.0
server_scaling,optimized,30,17,256,30,62.100,1.176,13108.0
server_scaling,optimized,30,18,256,30,61.251,1.176,13108.0
server_scaling,optimized,30,19,256,30,61.729,1.176,13108.0
server_scaling,optimized,30,20,256,30,61.293,1.176,13108.0
server_scaling,optimized,30,21,256,30,61.721,1.176,13108.0
server_scaling,optimized,30,22,256,30,61.623,1.176,13108.0
server_scaling,optimized,30,23,256,30,62.542,1.176,13108.0
server_scaling,optimized,30,24,256,30,61.106,1.176,13108.0
server_scaling,optimized,30,25,256,30,62.568,1.176,13108.0
server_scaling,optimized,40,1,256,40,76.316,1.196,13108.0
server_scaling,optimized,40,2,256,40,77.292,1.196,13108.0
server_scaling,optimized,40,3,256,40,77.401,1.196,13108.0
server_scaling,optimized,40,4,256,40,77.609,1.196,13108.0
