profile,scenario,variable,trials,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_memory_mb,mean_tokens,mean_cache_hit_rate
ADV3: Predictive Caching,context_scaling,128,30,107.86624333337993,108.28189999983806,108.99229999995441,109.26209999979619,4.9591064453125e-05,1285,0.7
ADV3: Predictive Caching,context_scaling,256,30,107.61587333336138,108.03500000019994,109.17639999934181,109.29569999916566,4.9591064453125e-05,1451,0.7
ADV3: Predictive Caching,context_scaling,512,30,107.12297999998555,108.16609999983484,108.96369999954914,109.08980000021984,4.9591064453125e-05,1782,0.7
ADV3: Predictive Caching,context_scaling,1024,30,108.01410666672382,107.97580000007656,108.78960000081861,108.80300000007992,4.9591064453125e-05,2445,0.7
ADV3: Predictive Caching,server_scaling,1,30,77.34317333330789,77.30320000018764,77.97240000036254,78.16079999975045,4.9591064453125e-05,1052,0.7
ADV3: Predictive Caching,server_scaling,5,30,77.64698999996351,77.58009999997739,78.63989999987098,79.06540000021778,4.9591064453125e-05,1136,0.7
ADV3: Predictive Caching,server_scaling,10,30,77.34583666673036,77.41490000034901,78.17730000078882,78.34670000011101,4.9591064453125e-05,1241,0.7
ADV3: Predictive Caching,server_scaling,20,30,108.18363666661146,108.20875000035812,108.83079999985057,108.8540999999168,4.9591064453125e-05,1451,0.7
ADV3: Predictive Caching,server_scaling,30,30,123.75734666666176,123.70579999969777,124.61600000006001,124.66820000008738,4.9591064453125e-05,1661,0.7
ADV3: Predictive Caching,server_scaling,40,30,123.42892666674743,123.4367500001099,124.47229999997944,124.640900000486,5.4168701171875e-05,1871,0.7
ADV3: Predictive Caching,server_scaling,50,30,154.72651333338945,154.58429999989676,156.28600000036386,156.39290000035544,7.62939453125e-05,2081,0.7
ADV4: Adaptive Compression,context_scaling,64,30,108.43253999995189,108.39579999992566,109.43159999987984,109.52710000037769,4.9591064453125e-05,1202,0.0
ADV4: Adaptive Compression,context_scaling,128,30,108.2241666667566,108.29315000046336,109.22670000036305,109.66830000052141,4.9591064453125e-05,1285,0.0
ADV4: Adaptive Compression,context_scaling,256,30,108.33659666668609,108.34875000000466,109.1019999994387,110.27639999974781,4.9591064453125e-05,1451,0.0
ADV4: Adaptive Compression,context_scaling,512,30,108.07904000005995,108.18814999993265,108.91399999945861,109.10450000028504,4.9591064453125e-05,1782,0.0
ADV4: Adaptive Compression,context_scaling,1024,30,108.10771999998299,108.04254999993645,109.05270000057499,109.19549999925948,4.9591064453125e-05,2445,0.0
ADV4: Adaptive Compression,server_scaling,1,30,77.42551666663833,77.38035000011223,78.21640000020125,78.28309999968042,4.9591064453125e-05,1052,0.0
ADV4: Adaptive Compression,server_scaling,5,30,77.42074999990412,77.44000000002416,77.93979999951262,78.03020000028482,4.9591064453125e-05,1136,0.0
ADV4: Adaptive Compression,server_scaling,10,30,92.76649000015216,92.7905000003193,93.62109999983659,93.99339999981748,4.9591064453125e-05,1241,0.0
ADV4: Adaptive Compression,server_scaling,20,30,108.41112333328056,108.30714999974589,109.45679999986169,109.4613000004756,4.9591064453125e-05,1451,0.0
ADV4: Adaptive Compression,server_scaling,30,30,139.17014333328552,139.11319999988336,140.13599999998405,141.2058000005345,4.9591064453125e-05,1661,0.0
ADV4: Adaptive Compression,server_scaling,40,30,154.84119999997952,154.94400000034148,155.7623999997304,155.96420000019862,4.9591064453125e-05,1871,0.0
ADV4: Adaptive Compression,server_scaling,50,30,170.27744000000288,170.33330000003843,171.2809999999081,171.91149999962363,8.087158203125e-05,2081,0.0
ADV5: Tool Grouping,context_scaling,64,30,139.17946333334234,139.16435000010097,140.1957999996739,140.23079999969923,4.9591064453125e-05,1202,0.0
ADV5: Tool Grouping,context_scaling,128,30,139.20910666665804,139.09845000034693,140.8449999998993,141.03649999924528,4.9591064453125e-05,1285,0.0
ADV5: Tool Grouping,context_scaling,256,30,138.17736000000878,138.98610000023837,140.00829999986308,140.20419999997102,4.9591064453125e-05,1451,0.0
ADV5: Tool Grouping,context_scaling,512,30,138.17446999995204,139.1023999999561,140.52619999984017,140.60040000003937,4.9591064453125e-05,1782,0.0
ADV5: Tool Grouping,context_scaling,1024,30,137.8104766667093,139.3372000002273,140.19009999992704,141.094399999929,4.9591064453125e-05,2445,0.0
ADV5: Tool Grouping,server_scaling,1,30,77.39291000001079,77.43639999989682,78.03119999971386,78.17909999994299,4.9591064453125e-05,1052,0.0
ADV5: Tool Grouping,server_scaling,5,30,93.02030666664602,93.003150000186,93.74469999966095,94.1370000000461,4.9591064453125e-05,1136,0.0
ADV5: Tool Grouping,server_scaling,10,30,92.79154333326005,92.8022999996756,93.81579999990208,93.8255000000936,4.9591064453125e-05,1241,0.0
ADV5: Tool Grouping,server_scaling,20,30,138.12152333339327,139.14930000009917,139.8418999997375,140.3915999999299,4.9591064453125e-05,1451,0.0
ADV5: Tool Grouping,server_scaling,30,30,155.73151333343654,154.68830000008893,170.05450000033306,170.13130000032106,4.9591064453125e-05,1661,0.0
ADV5: Tool Grouping,server_scaling,40,30,185.9031033333546,185.747800000172,186.88840000049822,187.27119999948627,4.9591064453125e-05,1871,0.0
ADV5: Tool Grouping,server_scaling,50,30,229.00924000005034,232.17720000002373,233.58740000003309,233.6449000003995,8.0108642578125e-05,2081,0.0
ADV6: Priority Queue,context_scaling,64,30,92.90964999988016,92.80909999961295,93.92680000019027,93.93910000017058,2.8228759765625e-05,1202,0.0
ADV6: Priority Queue,context_scaling,128,30,91.39211666670235,92.7806499998951,93.81669999947917,94.01669999988371,2.6702880859375e-05,1285,0.0
ADV6: Priority Queue,context_scaling,256,30,92.3784033332898,92.75929999967047,93.96389999983512,94.83120000004419,2.6702880859375e-05,1451,0.0
ADV6: Priority Queue,context_scaling,512,30,91.98305000008986,92.50049999991461,93.10140000070533,93.30840000075113,2.6702880859375e-05,1782,0.0
ADV6: Priority Queue,context_scaling,1024,30,92.09619999992356,92.53420000004553,93.09639999992214,93.66329999920708,2.6702880859375e-05,2445,0.0
ADV6: Priority Queue,server_scaling,1,30,77.3467233334183,77.38239999980578,78.05740000003425,78.30079999985173,2.8228759765625e-05,1052,0.0
ADV6: Priority Queue,server_scaling,5,30,77.49925666673032,77.58124999963911,78.14090000010765,78.19640000070649,2.6702880859375e-05,1136,0.0
ADV6: Priority Queue,server_scaling,10,30,77.50479000002694,77.44550000006711,78.46400000016729,78.57369999965158,2.6702880859375e-05,1241,0.0
ADV6: Priority Queue,server_scaling,20,30,91.68809000002511,92.75579999984984,93.43619999981456,93.51650000007794,2.6702880859375e-05,1451,0.0
ADV6: Priority Queue,server_scaling,30,30,92.61757333333662,92.62444999967556,93.4095000002344,93.68709999944258,2.6702880859375e-05,1661,0.0
ADV6: Priority Queue,server_scaling,40,30,92.52415333330646,92.57644999979675,93.396300000677,93.40859999974782,3.204345703125e-05,1871,0.0
ADV6: Priority Queue,server_scaling,50,30,107.99091666670695,107.85309999982928,109.1097999997146,109.47720000058325,5.340576171875e-05,2081,0.0
ADV7: Lazy Validation,context_scaling,64,30,92.90673666676715,92.89024999952744,93.73119999963819,93.90279999934137,2.6702880859375e-05,1202,0.0
ADV7: Lazy Validation,context_scaling,128,30,92.19498333335044,92.56844999981695,93.49000000020169,93.62450000026001,2.6702880859375e-05,1285,0.0
ADV7: Lazy Validation,context_scaling,256,30,92.22834333328744,92.64494999979433,93.63560000019788,94.07039999950939,2.6702880859375e-05,1451,0.0
ADV7: Lazy Validation,context_scaling,512,30,91.13390999994711,92.63129999999364,93.24980000019423,93.2609000001321,2.6702880859375e-05,1782,0.0
ADV7: Lazy Validation,context_scaling,1024,30,92.67069999990174,92.62115000001359,93.40919999976904,94.38979999958974,2.6702880859375e-05,2445,0.0
ADV7: Lazy Validation,server_scaling,1,30,77.47082000008352,77.42279999956736,78.50719999987632,78.53420000083133,2.6702880859375e-05,1052,0.0
ADV7: Lazy Validation,server_scaling,5,30,77.60848333327885,77.59725000005346,78.5715000001801,79.03660000010859,2.6702880859375e-05,1136,0.0
ADV7: Lazy Validation,server_scaling,10,30,77.31968333346231,77.27835000014238,78.16499999989901,78.51560000017344,2.6702880859375e-05,1241,0.0
ADV7: Lazy Validation,server_scaling,20,30,91.79162333345327,92.6806000002216,93.54549999989104,95.01920000002428,2.6702880859375e-05,1451,0.0
ADV7: Lazy Validation,server_scaling,30,30,92.73348333329825,92.64830000029178,93.65270000034798,93.94069999962085,2.6702880859375e-05,1661,0.0
ADV7: Lazy Validation,server_scaling,40,30,92.76785333331645,92.78895000034026,94.06899999976304,94.1380999993271,2.6702880859375e-05,1871,0.0
ADV7: Lazy Validation,server_scaling,50,30,108.08930000011969,108.13090000010561,108.87060000004567,108.99100000006001,5.8746337890625e-05,2081,0.0
Baseline v1.0,context_scaling,64,30,108.61889333330812,108.61154999975042,109.57270000017161,109.6570999998221,2.6702880859375e-05,3436,0.0
Baseline v1.0,context_scaling,128,30,108.30609333330965,108.27190000009068,109.42749999958323,109.64429999967251,2.6702880859375e-05,3673,0.0
Baseline v1.0,context_scaling,256,30,122.72355666676351,123.74464999993506,124.3214000005537,124.59599999965576,2.6702880859375e-05,4147,0.0
